,filename,true_label,pred_label,correct?
0,4021.jpg,gymnocladus_dioicus,gymnocladus_dioicus,True
1,54337.jpg,juglans_nigra,juglans_nigra,True
2,36480.jpg,liriodendron_tulipifera,liriodendron_tulipifera,True
3,36334.jpg,fraxinus_nigra,fraxinus_nigra,True
4,14049.jpg,acer_pensylvanicum,celtis_tenuifolia,False
5,33496.jpg,cornus_kousa,cornus_kousa,True
6,36744.jpg,carya_tomentosa,carya_tomentosa,True
7,9999.jpg,salix_caroliniana,salix_caroliniana,True
8,41038.jpg,liquidambar_styraciflua,liquidambar_styraciflua,True
9,80366.jpg,quercus_imbricaria,quercus_imbricaria,True
10,90767.jpg,carya_ovata,carya_ovata,True
11,74236.jpg,acer_pseudoplatanus,acer_pseudoplatanus,True
12,987.jpg,ficus_carica,ficus_carica,True
13,54064.jpg,pinus_virginiana,pinus_virginiana,True
14,12537.jpg,diospyros_virginiana,diospyros_virginiana,True
15,67405.jpg,pinus_flexilis,pinus_rigida,False
16,22518.jpg,platanus_acerifolia,platanus_acerifolia,True
17,1054.jpg,salix_caroliniana,salix_caroliniana,True
18,44599.jpg,ficus_carica,ficus_carica,True
19,14990.jpg,asimina_triloba,asimina_triloba,True
20,92169.jpg,quercus_macrocarpa,quercus_macrocarpa,True
21,52861.jpg,acer_campestre,acer_campestre,True
22,89822.jpg,fraxinus_nigra,fraxinus_nigra,True
23,19651.jpg,aesculus_flava,aesculus_flava,True
24,4896.jpg,platanus_occidentalis,platanus_occidentalis,True
25,36329.jpg,phellodendron_amurense,phellodendron_amurense,True
26,17290.jpg,malus_floribunda,malus_floribunda,True
27,30771.jpg,juglans_cinerea,juglans_cinerea,True
28,52552.jpg,fraxinus_americana,fraxinus_americana,True
29,46677.jpg,pinus_densiflora,pinus_densiflora,True
30,14636.jpg,koelreuteria_paniculata,koelreuteria_paniculata,True
31,63816.jpg,cercidiphyllum_japonicum,cercidiphyllum_japonicum,True
32,82914.jpg,quercus_muehlenbergii,quercus_muehlenbergii,True
33,72124.jpg,asimina_triloba,asimina_triloba,True
34,65056.jpg,chamaecyparis_thyoides,chamaecyparis_thyoides,True
35,56049.jpg,diospyros_virginiana,diospyros_virginiana,True
36,80398.jpg,acer_pensylvanicum,acer_pensylvanicum,True
37,576.jpg,betula_nigra,stewartia_pseudocamellia,False
38,70992.jpg,maclura_pomifera,maclura_pomifera,True
39,56865.jpg,salix_caroliniana,salix_caroliniana,True
40,80835.jpg,acer_ginnala,acer_ginnala,True
41,84796.jpg,ulmus_parvifolia,ulmus_parvifolia,True
42,6144.jpg,quercus_muehlenbergii,quercus_muehlenbergii,True
43,58720.jpg,cornus_florida,cornus_florida,True
44,4234.jpg,chionanthus_virginicus,chionanthus_virginicus,True
45,3605.jpg,quercus_nigra,quercus_michauxii,False
46,33838.jpg,magnolia_macrophylla,magnolia_macrophylla,True
47,83891.jpg,acer_rubrum,acer_rubrum,True
48,80550.jpg,catalpa_speciosa,catalpa_speciosa,True
49,60635.jpg,pinus_koraiensis,pinus_koraiensis,True
50,71247.jpg,picea_abies,pinus_resinosa,False
51,8926.jpg,pinus_wallichiana,pinus_wallichiana,True
52,60057.jpg,quercus_muehlenbergii,quercus_muehlenbergii,True
53,46871.jpg,acer_saccharinum,acer_saccharinum,True
54,71392.jpg,gleditsia_triacanthos,gleditsia_triacanthos,True
55,85563.jpg,malus_floribunda,malus_floribunda,True
56,57386.jpg,robinia_pseudo-acacia,robinia_pseudo-acacia,True
57,82594.jpg,eucommia_ulmoides,eucommia_ulmoides,True
58,82460.jpg,morus_alba,morus_alba,True
59,88841.jpg,prunus_serotina,prunus_serotina,True
60,41489.jpg,juglans_cinerea,juglans_cinerea,True
61,85538.jpg,populus_grandidentata,populus_grandidentata,True
62,43353.jpg,quercus_phellos,quercus_phellos,True
63,31640.jpg,magnolia_acuminata,magnolia_acuminata,True
64,41178.jpg,acer_platanoides,acer_platanoides,True
65,61047.jpg,platanus_acerifolia,platanus_acerifolia,True
66,53689.jpg,acer_rubrum,acer_rubrum,True
67,1328.jpg,ulmus_pumila,ulmus_pumila,True
68,16443.jpg,quercus_velutina,quercus_velutina,True
69,33604.jpg,malus_angustifolia,malus_angustifolia,True
70,41874.jpg,prunus_pensylvanica,prunus_pensylvanica,True
71,70275.jpg,betula_jacqemontii,betula_jacqemontii,True
72,81939.jpg,cornus_mas,cornus_mas,True
73,19891.jpg,celtis_tenuifolia,celtis_tenuifolia,True
74,55501.jpg,malus_coronaria,malus_coronaria,True
75,34536.jpg,ailanthus_altissima,ailanthus_altissima,True
76,43765.jpg,zelkova_serrata,zelkova_serrata,True
77,26889.jpg,quercus_acutissima,quercus_acutissima,True
78,64695.jpg,diospyros_virginiana,diospyros_virginiana,True
79,32837.jpg,tsuga_canadensis,cedrus_atlantica,False
80,75877.jpg,acer_negundo,acer_negundo,True
81,71590.jpg,catalpa_speciosa,prunus_pensylvanica,False
82,89881.jpg,magnolia_acuminata,stewartia_pseudocamellia,False
83,63791.jpg,pinus_rigida,pinus_echinata,False
84,76890.jpg,ulmus_pumila,ulmus_pumila,True
85,32529.jpg,magnolia_acuminata,catalpa_bignonioides,False
86,85702.jpg,acer_rubrum,acer_rubrum,True
87,82128.jpg,picea_orientalis,picea_orientalis,True
88,7947.jpg,chamaecyparis_thyoides,chamaecyparis_thyoides,True
89,43690.jpg,cercis_canadensis,cercis_canadensis,True
90,11240.jpg,cladrastis_lutea,cladrastis_lutea,True
91,42656.jpg,ostrya_virginiana,ostrya_virginiana,True
92,27193.jpg,asimina_triloba,asimina_triloba,True
93,83682.jpg,quercus_stellata,quercus_stellata,True
94,5088.jpg,betula_nigra,ostrya_virginiana,False
95,28277.jpg,maclura_pomifera,maclura_pomifera,True
96,13682.jpg,evodia_daniellii,evodia_daniellii,True
97,92819.jpg,crataegus_pruinosa,crataegus_pruinosa,True
98,70524.jpg,ulmus_parvifolia,ulmus_parvifolia,True
99,60863.jpg,cercidiphyllum_japonicum,cercidiphyllum_japonicum,True
100,67512.jpg,acer_rubrum,acer_rubrum,True
101,72152.jpg,carpinus_betulus,magnolia_stellata,False
102,6633.jpg,ulmus_rubra,ulmus_rubra,True
103,16205.jpg,prunus_subhirtella,styrax_obassia,False
104,24654.jpg,quercus_marilandica,quercus_marilandica,True
105,74490.jpg,betula_alleghaniensis,betula_alleghaniensis,True
106,29227.jpg,pinus_thunbergii,pinus_echinata,False
107,63435.jpg,tilia_cordata,tilia_americana,False
108,71449.jpg,juglans_nigra,juglans_nigra,True
109,38834.jpg,malus_baccata,malus_baccata,True
110,6336.jpg,carpinus_caroliniana,carpinus_caroliniana,True
111,94062.jpg,diospyros_virginiana,diospyros_virginiana,True
112,57921.jpg,prunus_virginiana,prunus_virginiana,True
113,91804.jpg,fraxinus_americana,fraxinus_americana,True
114,27123.jpg,aesculus_glabra,aesculus_glabra,True
115,79737.jpg,acer_palmatum,acer_palmatum,True
116,53394.jpg,platanus_acerifolia,platanus_acerifolia,True
117,89362.jpg,acer_griseum,acer_griseum,True
118,55055.jpg,magnolia_macrophylla,magnolia_macrophylla,True
119,69363.jpg,salix_babylonica,salix_matsudana,False
120,59059.jpg,populus_tremuloides,populus_tremuloides,True
121,14959.jpg,maclura_pomifera,maclura_pomifera,True
122,23143.jpg,corylus_colurna,corylus_colurna,True
123,76046.jpg,quercus_alba,quercus_alba,True
124,24630.jpg,ulmus_pumila,ulmus_pumila,True
125,86611.jpg,liriodendron_tulipifera,liriodendron_tulipifera,True
126,40364.jpg,amelanchier_arborea,amelanchier_arborea,True
127,41395.jpg,tilia_cordata,tilia_cordata,True
128,88355.jpg,pinus_parviflora,pinus_parviflora,True
129,46795.jpg,metasequoia_glyptostroboides,metasequoia_glyptostroboides,True
130,52998.jpg,koelreuteria_paniculata,koelreuteria_paniculata,True
131,90550.jpg,pinus_koraiensis,pinus_koraiensis,True
132,49593.jpg,pinus_parviflora,pinus_peucea,False
133,90501.jpg,morus_alba,morus_alba,True
